,index,Location Name,Address,City,Zip Code,Wait Time(Mins),Map,timestamp
0,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,1603733232.3731241
1,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,1603733232.3731241
2,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,1603733232.3731241
3,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,1603733232.3731241
4,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,1603733232.3731241
5,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,1603733232.3731241
6,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,1603733232.3731241
7,7,SANDY SPRING VOLUNTEER FIRE DEPT,17921 Brooke Rd,Sandy Spring,20860,30.0,Map link,1603733232.3731241
8,8,JANE LAWTON COMMUNITY RECREATION CENTER,4301 Willow Ln,Chevy Chase,20815,45.0,Map link,1603733232.3731241
9,9,ACTIVITY CENTER BOHRER PARK,506 S. Frederick Ave,Gaithersburg,20877,50.0,Map link,1603733232.3731241
10,10,EXECUTIVE OFFICE BUILDING,101 Monroe St,Rockville,20850,90.0,Map link,1603733232.3731241
11,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,1603733239.8868468
12,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,1603733239.8868468
13,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,1603733239.8868468
14,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,1603733239.8868468
15,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,1603733239.8868468
16,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,1603733239.8868468
17,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,1603733239.8868468
18,7,SANDY SPRING VOLUNTEER FIRE DEPT,17921 Brooke Rd,Sandy Spring,20860,30.0,Map link,1603733239.8868468
19,8,JANE LAWTON COMMUNITY RECREATION CENTER,4301 Willow Ln,Chevy Chase,20815,45.0,Map link,1603733239.8868468
20,9,ACTIVITY CENTER BOHRER PARK,506 S. Frederick Ave,Gaithersburg,20877,50.0,Map link,1603733239.8868468
21,10,EXECUTIVE OFFICE BUILDING,101 Monroe St,Rockville,20850,90.0,Map link,1603733239.8868468
22,0,WHEATON REC CENTER,11701 Georgia Ave,Wheaton,20902,0.0,Map link,1603733492.7960172
23,1,DAMASCUS REC CENTER,25520 Oak Dr,Damascus,20872,10.0,Map link,1603733492.7960172
24,2,POTOMAC REC CENTER,11315 Falls Rd,Potomac,20854,10.0,Map link,1603733492.7960172
25,3,SILVER SPRING CIVIC BUILDING,1 Veterans Pl,Silver Spring,20910,10.0,Map link,1603733492.7960172
26,4,GERMANTOWN RECREATION CENTER,18905 Kingsview Rd,Germantown,20874,16.0,Map link,1603733492.7960172
27,5,MARILYN PRAISNER REC CENTER,14906 Old Columbia Pike,Burtonsville,20866,20.0,Map link,1603733492.7960172
28,6,MID-COUNTY REC CENTER,2004 Queensguard Rd,Silver Spring,20906,20.0,Map link,1603733492.7960172
